F080	Kepala Subseksi Geofisika mengatakan gempa terjadi dalam tujuh skala richter.	Kepala SubsEksi GEofisika mengatakan gempa terjadi dalam tujuh skala richter.
F081	Peti jenazah Yesus.	Peti jenazah YEsus.
F082	Kalau rame-rame begini terasa atmosfer akrabnya.	Kalau ramE-ramE begini terasa atmosfEr akrabnya.
F083	Bambang Sudibyo untuk Menkeu.	Bambang Sudibyo untuk Men-keu.
F084	Mohon informasi tentang akte kelahiran.	Mohon informasi tentang akte kelahiran.
F085	Dan jelas wewenang dari pelaksananya serta sah panggilannya.	Dan jelas wewenang dari pelaksananya serta sah panggilannya.
F086	Di antaranya, zone ekonomi.	Di antaranya, zone Ekonomi.
F087	Inspektur Jenderal Sufyan Yakub hanya punya tujuh puluh enam anggota pleton.	InspEktur JEnderal Sufyan Yakub hanya punya tujuh puluh enam anggota ple-ton.
F088	Kalau hendak diekspor lagi perlu standarisasi ukuran dan berat.	Kalau hendak diEkspor lagi perlu standarisasi ukuran dan berat.
F089	Kita tidak memakai wewangian ujar Elza.	Kita tidak memakai wewangian ujar Elza.
F090	Kalau MPR tidak mau mengesahkan efek psikologisnya lumayan juga ujarnya.	Kalau EM-PE-ER tidak mau mengesahkan EfEk psikologisnya lumayan juga ujarnya.
F091	Mohon informasi tentang persyaratan HGB, IMB, KK, KTP, NPWP, PBB dan SHM.	Mohon informasi tentang persyaratan HA-GE-BE, I-EM-BE, KA-KA, KA-TE-PE, EN-PE-WE-PE, PE-BE-BE dan ES-HA-EM.
F092	Cinta Jangan Kau Pergi.	Cinta Jangan Kau Pergi.
F093	Bangau berkata saya masih pusing.	Bangau berkata saya masih pusing.
F094	Akibat kebiasaannya merokok sejak remaja, ia menderita penyakit paru obstruktif kronik.	Akibat kebiasaannya merokok sejak remaja, ia menderita penyakit paru ob-struk-tif kronik.
F095	Ini bukan perang etnis apalagi perang agama, hanya perang kepentingan saja.	Ini bukan perang Etnis apalagi perang agama, hanya perang kepentingan saja.
F096	Bahwa film itu kurang detail seperti bukunya terjadi karena keterbatasan waktu.	Bahwa film itu kurang detail seperti bukunya terjadi karena keterbatasan waktu.
F097	Begitu bel ronde awal dibunyikan, penonton bersorak riuh.	Begitu bEl ronde awal dibunyikan, penonton bersorak riuh.
F098	Beda antara dokumen milik Kwik dan Putu terletak pada formatnya.	BEda antara dokumEn milik Kwik dan Putu terletak pada formatnya.
F099	Ia tidak datang akibat hujan, belum lagi badai juga cukup kencang.	Ia tidak datang akibat hujan, belum lagi badai juga cukup kencang.
F100	Ini dia lakukan dalam upaya membuktikan klaimnya.	Ini dia lakukan dalam upaya membuktikan klaimnya.
F101	Dalam rangka tutup buku tahun dua ribu lima semua laporan harus sudah masuk hari ini.	Dalam rangka tutup buku tahun dua ribu lima semua laporan harus sudah masuk hari ini.
F102	Mohon penjelasan tentang Pin partisipan.	Mohon penjelasan tentang Pin partisipan.
F103	Motor ekonomi digeser ke swasta.	Motor Ekonomi digEsEr ke swasta.
F104	Mozaik dan lainnya tidak semata-mata ditentukan oleh sosok Syahril.	Mo-za-ik dan lainnya tidak semata-mata ditentukan olEh sosok Syah-ril.
F105	Muchsin mengatakan harga ini akan ditinjau setiap bulan.	Muh-sin mengatakan harga ini akan ditinjau setiap bulan.
F106	Mudah-mudahan masalah ini tidak masuk ke ILO.	Mudah-mudahan masalah ini tidak masuk ke I-EL-O.
F107	Mufti Fajar muntah dan mencret.	Muf-ti Fa-jar muntah dan mEncrEt.
F108	Mugabe dapat saja mengklaim kemenangan dalam pemilihan presiden di Zimbabwe.	Mu-ga-bE dapat saja mengklaim kemenangan dalam pemilihan prEsidEn di Zim-bab-wE.
F109	Muhaimin Iskandar seusai bertemu Presiden Abdurrahman Wahid di Istana Merdeka.	Mu-hai-min Iskandar seusai bertemu prEsidEn Ab-dur-rah-man Wahid di Istana MerdEka.
F110	Muhammad Jam dan Muhammad Khirom mulai ada kekhawatiran terhadap Mujab Fahmi.	Muhammad Jam dan Muhammad Khi-rom mulai ada kekhawatiran terhadap Mujab Fahmi.
F111	Muhammad Nurlif diadili sesuai fakta hukum.	Muhammad Nur-lif diadili sesuai fakta hukum.
F112	Muhammad Taufiq Abda dapat dipercaya sesuai namanya.	Muhammad Tau-fiq Ab-da dapat dipercaya sesuai namanya.
F113	Muhammad Yus bekerja sesuai dokumen tender.	Muhammad Yus bekerja sesuai dokumEn tEnder.
F114	Mulai dari perbatasan Kanada sampai Florida.	Mulai dari perbatasan Kanada sampai Florida.
F115	Mulai Jumat sepupu Eric akan menginap.	Mulai Jumat sepupu Erik akan menginap.
F116	Mulai Rabu sepuluh anggota akan datang.	Mulai Rabu sepuluh anggota akan datang.
F117	Mulai Senin pagi, urusan administrasi sesuai kontrak.	Mulai Senin pagi, urusan administrasi sesuai kontrak.
F118	Mungkin ada oknum Bea Cukai yang terlibat.	Mungkin ada oknum BEa Cukai yang terlibat.
F119	Mungkin Danyon mulai melenceng.	Mungkin Danyon mulai melEncEng.
F120	Mungkin saja, proses mandeg sampai di DPR.	Mungkin saja, prosEs mandeg sampai di DE-PE-ER.
F121	Mungkin sedikit syukuran.	Mungkin sedikit syukuran.
F122	Mungkin tarif tolnya turun.	Mungkin tarif tolnya turun.
F123	Mungkinkah kelar minggu ini?	Mungkinkah kelar minggu ini?
F124	Mungkinkah rampung minggu ini?	Mungkinkah rampung minggu ini?
F125	Mungkinkah selesai minggu ini?	Mungkinkah selesai minggu ini?
F126	Murid Madrasah Tsanawiyah tewas.	Murid Madrasah Tsanawiyah tEwas.
F127	Musibah Gunung Slamet jenazah Iis ditemukan.	Musibah Gunung Slamet, jenazah Iis ditemukan.
F128	Najib Nawir, Mursyid Amal, dan Mullah Fazil mengikuti Musyawarah Nasional Teknik.	Na-jib Na-wir, Mur-syid Amal, dan Mul-lah Fa-zil mengikuti Musyawarah Na-si-o-nal tEknik.
F129	Nama anda siapa?	Nama anda siapa?
F130	Nama bayi itu Mustofa Ali.	Nama bayi itu Mus-to-fa Ali.
F131	Nama beken yang tercantum dalam keterangan Sekneg tadi.	Nama bekEn yang tercantum dalam keterangan SEk-nEg tadi.
F132	Nama kamu siapa?	Nama kamu siapa?
F133	Namamu siapa pelayan Owen yang baik?	Namamu siapa, pelayan Owen yang baik?
F134	Namun detailnya untuk jangka pendek FPDIP untung.	Namun de-ta-ilnya untuk jangka pEndEk EF-PE-DE-I-PE untung.
F135	Namun di lapangan Bintang Kejora dipakai sebagai wujud negara, ujarnya.	Namun di lapangan Bintang Kejora dipakai sebagai wujud negara, ujarnya.
F136	Namun dia enggan menjelaskan siapa yang membuat konsep fatwa tersebut.	Namun dia enggan menjelaskan siapa yang membuat konsEp fatwa tersebut.
F137	Namun Fariz sudah lama tidak bertemu Taufik, karena kesibukan masing-masing.	Namun Fariz sudah lama tidak bertemu Taufik, karena kesibukan masing-masing.
F138	Namun isu ini dibantah Mayjen Nurfaizi karna membutuhkan survei lebih lanjut.	Namun isu ini dibantah MayjEn Nurfaizi karna membutuhkan survEi lebih lanjut.
F139	Namun kali ini disela-sela suara setuju itu terdengar teriakan-teriakan, Hei.	Namun kali ini disela-sela suara setuju itu terdengar teriakan-teriakan, HEi!
F140	Namun konvoi itu diarahkan aparat ke Gedung Negara Grahadi.	Namun konvoi itu diarahkan aparat ke Gedung Negara Gra-ha-di.
F141	Namun Majelis Hakim tetap memerintahkan agar saksi Entoy tetap dipanggil.	Namun Majelis Hakim tetap memerintahkan agar saksi entoy tetap dipanggil.
F142	Namun mekanisme untuk mengontrolnya tidak ada lagi.	Namun mEkanisme untuk mengontrolnya tidak ada lagi.
F143	Namun Owen sempat berkelit karena senewen dan takut cucunya terluka.	Namun Owen sempat berkelit karena senEwen dan takut cucunya terluka.
F144	Namun pabrik minyak gorengnya hanya memiliki dua lampu warna merah dan hijau.	Namun pabrik minyak gorEngnya hanya memiliki dua lampu warna mErah dan hijau.
F145	Namun panggung terbuka di tepi danau tetap menunjukkan roh Wianta.	Namun panggung terbuka di tepi danau tetap menunjukkan roh Wi-yan-ta.
F146	Namun Saleh tak memperinci fasilitas umum apa yang rusak.	Namun SalEh tak memperinci fasilitas umum apa yang rusak.
F147	Namun sebagian lain menuntut butir kesepakatan itu ditulis blak-blakan.	Namun sebagian lain menuntut butir kesepakatan itu ditulis blak-bla-kan.
F148	Namun selama babak penyisihan grup Zona Eropa malah mengacaukan.	Namun selama babak penyisihan grup Zona Eropa malah mengacaukan.
F149	Namun Tarigan tidak memeriksa lebih lanjut sebab khawatir akan meledak.	Namun Ta-ri-gan tidak memeriksa lebih lanjut sebab khawatir akan meledak.
F150	Namun, akhirnya Nur mengaku khilaf pada peringatan Maulid Nabi ini.	Namun, akhirnya Nur mengaku khilaf pada peringatan Maulid Nabi ini.
F151	Namun, Alfred tidak beruntung pada kedua partai catur cepat itu.	Namun, AlfrEd tidak beruntung pada kedua partai catur cepat itu.
F152	Namun, diduga, pertemuan Arafat-Powell digelar hari Minggu ini.	Namun, diduga, pertemuan A-ra-fat-Po-well digelar hari Minggu ini.
F153	Namun, karena ada prasangka, akhirnya Pansus Buloggate pun dibentuk.	Namun, karena ada prasangka, akhirnya Pansus Bu-log-gE-it pun dibentuk.
F154	Namun, lanjut dia, pailit tetap dijatuhkan.	Namun, lanjut dia, pailit tetap dijatuhkan.
F155	Namun, Mahfud tidak menjelaskan secara detail hasil yang ia maksud.	Namun, Mah-fud tidak menjelaskan secara de-ta-il hasil yang ia maksud.
F156	Namun, mereka tetap menanyakan uang tunai lainnya, plus AC, plus saldo giro.	Namun, MerEka tetap menanyakan uang tunai lainnya, plus A-SE, plus saldo giro.
F157	Namun, mulai Maret hingga Mei pertemuan kerjasama dengan para rekanan akan normal.	Namun, mulai Maret hingga mEi pertemuan kerjasama dengan para rekanan akan normal.
F158	Namun, pasangan Denmark tidak melayani dan selalu memperlambat tempo permainan.	Namun, pasangan DEnmark tidak melayani dan selalu memperlambat tEmpo permainan.
F159	Namun, Pradjoto khawatir UUD yang terlampau rinci, juga akan membingungkan.	Namun, Pra-joto khawatir U-U-DE yang terlampau rinci, juga akan membingungkan.
F160	Namun, Susilo enggak merinci persyaratan platform yang dia maksud itu.	Namun, Susilo engga merinci persyaratan plat-form yang dia maksud itu.
F161	Namun, tampaknya Australia menempati ruang khusus di relung hati Tahija.	Namun, tampaknya Aus-tra-lia menempati ruang khusus di relung hati Ta-hi-ja.
F162	Namun, Yusuf enggan menjelaskan identitas dua tahanan itu kepada Pers nasional.	Namun, Yusuf enggan menjelaskan idEntitas dua tahanan itu kepada PErs nasional.
F163	Nano orangnya itu ramah, pinter ngomong dan mengutamakan persaingan sehat.	Nano orangnya itu ramah, pinter ngomong dan mengutamakan persaingan sEhat.
F164	Nanti akan diresmikan penggunaannya kalau sudah selesai empat lantai.	Nanti akan diresmikan penggunaannya kalau sudah selesai empat lantai.
F165	Nanti saya kasih tahu Egi Peralatan dari korps zeni.	Nanti saya kasih tahu Egi Peralatan dari korps zEni.
F166	Nasib empat mantan juara yang gendut itu tidak jelas.	Nasib empat mantan juara yang gendut itu tidak jelas.
F167	Nasib negara tidak hanya ditentukan oleh pihak eksekutif saja.	Nasib negara tidak hanya ditentukan olEh pihak EksEkutif saja.
F168	Negara kita seperti negara koboi saja.	Negara kita seperti negara koboi saja.
F169	Negara Maju Bereaksi Atas Penolakan AS ke Protokol Kyoto.	Negara Maju BerEaksi Atas Penolakan A-ES ke Protokol Ki-yo-to.
F170	Ngapain ngurusin darurat militer atau sipil.	Ngapain ngurusin darurat militEr atau sipil.
F171	Ngeri deh, satu pucuk wolter rakitan dan satu clurit disita.	Ngeri dEh, satu pucuk wolter rakitan dan satu clurit disita.
F172	Ngeri lho sekujur tubuh Ngatiyem hangus, sehelai seprei menutup badannya.	Ngeri lho sekujur tubuh Ngatiyem hangus, sehElai seprEi menutup badannya.
F173	Ngomongnya ke anak-anak juga benar.	Ngomongnya ke anak-anak juga benar.
F174	Ngurah Santosa meramal nasib Ichwan, pegawai kontraktor yang tak terurus.	Ngurah Santosa meramal nasib Ikhwan, pegawai kontraktor yang tak terurus.
F175	Nilai-nilai Orde Baru itu sasarannya tidak tepat ini tidak benar tapi tidak bisa dianggap remeh.	Nilai-nilai Orde Baru itu sasarannya tidak tepat, ini tidak benar, tapi tidak bisa dianggap rEmEh.
F176	Nomer akses layanan audioconference adalah Sembilan nol lima dua lima tiga lima empat lima lima.	Nomer aksEs layanan audiokonferens adalah sembilan nol lima dua lima tiga lima empat lima lima.
F177	Nomer konferensi itu apa?	Nomer konferEnsi itu apa?
F178	Nomer konferensinya nol nol satu titik nol sembilan titik tiga puluh dua.	Nomer konferEnsinya nol nol satu titik nol sembilan titik tiga puluh dua.
F179	Nomer moderator itu apa?	Nomer moderator itu apa?
F180	Nomer moderatornya nol delapan tiga kosong tiga satu.	Nomer moderatornya nol delapan tiga kosong tiga satu.
F181	Nomer partisipan itu apa, nomer partisipasi itu apa?	Nomer partisipan itu apa, nomer partisipasi itu apa?
F182	Nomer partisipasi nol dua titik nol empat titik nol enam titik tiga ratus dua.	Nomer partisipasi nol dua titik nol empat titik nol enam titik tiga ratus dua.
F183	Nomernya dua dua kosong satu empat tujuh lima lima satu lima kali.	Nomernya dua dua kosong satu empat tujuh lima lima satu lima kali.
F184	Nomernya nol tiga tujuh titik, nol nol titik berapa ya?	Nomernya nol tiga tujuh titik, nol nol titik berapa ya?
F185	Nomor telfon kantor pelayanan PT Elektrindo Nusantara berapa?	Nomor telfon kantor pelayanan PE-TE ElEktrindo Nusantara berapa?
F186	Non-aktifkan alarm dan seluruh sensor lampu di Polres kabupaten bandung selatan.	Non-aktifkan alarem dan seluruh sEnsor lampu di PolrEs KabupatEn Bandung Selatan.
F187	Non-aktifkan semua sensor lampu kode nol lima titik di Polda metrojaya.	Non-aktifkan semua sEnsor lampu kode nol lima titik di Polda mEtrojaya.
